"","age.sex.class","group.name","eigen","degree","play.sec","obs.sec","im.ad.r","av.players","age.sex.class2","play.rate","prop.players","num.not.players"
"amr","adult female","aga",0.41703201772666,22,12705,496800,0.475,39,"adult female",92.0652173913044,0.564102564102564,17
"amp","adult female","aga",0.443100387180633,21,2043,118800,0.475,39,"adult female",61.9090909090909,0.538461538461538,18
"azt","subadult female","aga",0.118155357274007,18,3990,331200,0.475,39,"adult female",43.3695652173913,0.461538461538462,21
"cha","adult female","aga",0.142002930777739,21,1770,136800,0.475,39,"adult female",46.5789473684211,0.538461538461538,18
"nin","adult female","aga",0.0401831551933429,3,2250,496800,0.475,39,"adult female",16.304347826087,0.0769230769230769,36
"rod","adult female","aga",0.0965795396441175,12,1310,303300,0.475,39,"adult female",15.5489614243323,0.307692307692308,27
"roj","adult female","aga",1,24,2130,511200,0.475,39,"adult female",15,0.615384615384615,15
"rom","subadult female","aga",0.195439410651101,17,7920,612000,0.475,39,"adult female",46.5882352941176,0.435897435897436,22
"rxa","adult female","aga",0.124090216684572,16,2655,208800,0.475,39,"adult female",45.7758620689655,0.41025641025641,23
"sal","adult female","aga",0.146284352974804,17,2790,212400,0.475,39,"adult female",47.2881355932203,0.435897435897436,22
"sep","adult female","aga",0.153401955827803,20,2580,136800,0.475,39,"adult female",67.8947368421053,0.512820512820513,19
"ven","adult female","aga",0.352534198373056,19,2425,187200,0.475,39,"adult female",46.6346153846154,0.487179487179487,20
"ver","adult female","aga",0.0345091935721349,6,4200,198000,0.475,39,"adult female",76.3636363636364,0.153846153846154,33
"chu","adult male","aga",0.00387338103856911,3,725,176040,0.475,39,"adult male",14.8261758691207,0.0769230769230769,36
"cri","adult male","aga",0.0366028460160658,10,360,75600,0.475,39,"adult male",17.1428571428571,0.256410256410256,29
"nio","adult male","aga",0.0396457006504062,10,665,165600,0.475,39,"adult male",14.4565217391304,0.256410256410256,29
"niy","adult male","aga",0.0131113091210906,8,1400,252000,0.475,39,"adult male",20,0.205128205128205,31
"pic","adult male","aga",0.0811089610910619,14,677,338400,0.475,39,"adult male",7.20212765957447,0.358974358974359,25
"pin","adult male","aga",0.072854195038015,12,3383,342000,0.475,39,"adult male",35.6105263157895,0.307692307692308,27
"pir","adult male","aga",0.0933550665891856,19,2515,288000,0.475,39,"adult male",31.4375,0.487179487179487,20
"rbt","adult male","aga",0.125497462010484,10,2625,313200,0.475,39,"adult male",30.1724137931034,0.256410256410256,29
"sbs","adult male","aga",0.0356622828253231,11,530,374400,0.475,39,"adult male",5.09615384615385,0.282051282051282,28
"stg","adult male","aga",0.0379114926946248,11,1615,378000,0.475,39,"adult male",15.3809523809524,0.282051282051282,28
"vci","adult male","aga",0.192689725650545,13,1550,324000,0.475,39,"adult male",17.2222222222222,0.333333333333333,26
"nfa","adult male","aga",0.0390735202379347,6,1845,421200,0.475,39,"adult male",15.7692307692308,0.153846153846154,33
"ame","infant","aga",0.159693919195924,12,770,416800,0.475,39,"immature",6.65067178502879,0.307692307692308,27
"ams","infant","aga",0.0612141446058574,9,5030,416800,0.475,39,"immature",43.4452975047985,0.230769230769231,30
"amt","infant","aga",0.0497197882474035,5,1020,416800,0.475,39,"immature",8.80998080614203,0.128205128205128,34
"anr","juvenile","aga",0.0102260823064064,3,120,108800,0.475,39,"immature",3.97058823529412,0.0769230769230769,36
"cht","infant","aga",0.485076152986881,27,1260,187200,0.475,39,"immature",24.2307692307692,0.692307692307692,12
"nnv","juvenile","aga",0.629341189532243,26,19925,496800,0.475,39,"immature",144.384057971014,0.666666666666667,13
"rby","juvenile","aga",0.198133321511758,17,8340,303300,0.475,39,"immature",98.9910979228487,0.435897435897436,22
"rds","juvenile","aga",0.217230837259279,8,14247,612000,0.475,39,"immature",83.8058823529412,0.205128205128205,31
"rme","infant","aga",1,24,735,612000,0.475,39,"immature",4.32352941176471,0.615384615384615,15
"rss","infant","aga",0.176011295928745,20,5485,208800,0.475,39,"immature",94.5689655172414,0.512820512820513,19
"rxy","juvenile","aga",0.118592994464236,8,4590,208800,0.475,39,"immature",79.1379310344827,0.205128205128205,31
"sfd","juvenile","aga",0.0196672725904542,4,2350,212400,0.475,39,"immature",39.8305084745763,0.102564102564103,35
"vco","infant","aga",0.0325290573906211,5,180,187200,0.475,39,"immature",3.46153846153846,0.128205128205128,34
"vlz","juvenile","aga",0.00670233830661838,3,1010,198000,0.475,39,"immature",18.3636363636364,0.0769230769230769,36
"Fd","adult female","ch",0.221343771134518,9,4247,984960,0.625,13,"adult female",15.5226608187134,0.692307692307692,4
"Lc","adult female","ch",0.044647573073621,8,7751,984960,0.625,13,"adult female",28.3296783625731,0.615384615384615,5
"Ln","adult female","ch",0.0407759997316033,8,1744,984960,0.625,13,"adult female",6.37426900584795,0.615384615384615,5
"Rs","adult female","ch",0.149992441259557,12,4147,984960,0.625,13,"adult female",15.1571637426901,0.923076923076923,1
"Sv","adult male","ch",0.103697344116361,10,2849,984960,0.625,13,"adult male",10.4130116959064,0.769230769230769,3
"Ch","adult male","ch",0.193064403726232,9,3027,984960,0.625,13,"adult male",11.0635964912281,0.692307692307692,4
"Cp","adult male","ch",0.0811753964177638,10,1483,984960,0.625,13,"adult male",5.4203216374269,0.769230769230769,3
"Ll","subadult male","ch",0.173577961169726,10,1744,984960,0.625,13,"adult male",6.37426900584795,0.769230769230769,3
"Li","infant","ch",0.524336832889094,10,11145,984960,0.625,13,"immature",40.734649122807,0.769230769230769,3
"Ev","juvenile","ch",0.612671268744917,10,9418,522240,0.625,13,"immature",64.921875,0.769230769230769,3
"Fl","juvenile","ch",0.940350987919963,11,12538,522240,0.625,13,"immature",86.4292279411765,0.846153846153846,2
"Ls","juvenile","ch",0.532028484687634,12,8096,522240,0.625,13,"immature",55.8088235294118,0.923076923076923,1
"Lu","juvenile","ch",1,11,13960,522240,0.625,13,"immature",96.2316176470588,0.846153846153846,2
"Bl","adult female","cp",0.0600962745796046,10,988,746100,0.44,13,"adult female",4.76718938480096,0.769230769230769,3
"Cl","subadult female","cp",0.223898456645016,11,3762,746100,0.44,13,"adult female",18.1519903498191,0.846153846153846,2
"Cr","subadult male","cp",0.0665697500025226,10,1357,746100,0.44,13,"adult male",6.54764776839566,0.769230769230769,3
"Do","adult female","cp",0.073996398939869,9,1591,746100,0.44,13,"adult female",7.6767189384801,0.692307692307692,4
"Gt","adult female","cp",0.0248734981839091,8,1594,746100,0.44,13,"adult female",7.69119420989144,0.615384615384615,5
"Pl","adult female","cp",0.0140721502817696,8,907,746100,0.44,13,"adult female",4.37635705669481,0.615384615384615,5
"Yz","adult female","cp",0.0671169995308151,10,3148,746100,0.44,13,"adult female",15.189384800965,0.769230769230769,3
"Dr","adult male","cp",0.03806088810552,7,1084,746100,0.44,13,"adult male",5.23039806996381,0.538461538461538,6
"El","adult male","cp",0.036859857403946,9,3897,746100,0.44,13,"adult male",18.8033775633293,0.692307692307692,4
"Bg","infant","cp",1,5,19881,746100,0.44,13,"immature",95.9276236429433,0.384615384615385,8
"Pp","infant","cp",0.468776638041483,7,7246,746100,0.44,13,"immature",34.962605548854,0.538461538461538,6
"Co","infant","cp",0.88641324836353,7,17070,746100,0.44,13,"immature",82.3642943305187,0.538461538461538,6
"Ds","juvenile","cp",0.86555806766791,11,17660,746100,0.44,13,"immature",85.211097708082,0.846153846153846,2
"an","adult female","liz",1,5,7880,1000440,0.2,6,"adult female",28.3555235696294,0.833333333333333,1
"el","adult female","liz",0.93014814755696,5,7185,1000440,0.2,6,"adult female",25.8546239654552,0.833333333333333,1
"li","adult female","liz",0.515284750296154,5,1935,1000440,0.2,6,"adult female",6.96293630802447,0.833333333333333,1
"so","adult female","liz",0.552466063803052,5,3360,1000440,0.2,6,"adult female",12.0906801007557,0.833333333333333,1
"ch","adult male","liz",0.431311239073334,5,2855,1000440,0.2,6,"adult male",10.2734796689457,0.833333333333333,1
"vi","juvenile","liz",0.517198478192892,5,6496,750330,0.2,6,"immature",31.1670864819479,0.833333333333333,1
"do","adult male","pla",0.144488179794548,6,3420,1000440,0.75,7,"adult male",12.3065851025549,0.857142857142857,1
"lt","adult male","pla",0.0780562797291497,6,2255,1000440,0.75,7,"adult male",8.11442965095358,0.857142857142857,1
"ma","adult female","pla",0.470497578931123,6,10000,1000440,0.75,7,"adult female",35.9841669665347,0.857142857142857,1
"mi","adult female","pla",0.492739268319906,6,12435,1000440,0.75,7,"adult female",44.7463116228859,0.857142857142857,1
"ro","juvenile","pla",0.972824487983358,6,37578,1000440,0.75,7,"immature",135.221302626844,0.857142857142857,1
"ba","infant","pla",1,6,36765,1000440,0.75,7,"immature",132.295789852465,0.857142857142857,1
"lu","infant","pla",0.814252501952345,6,29062,1000440,0.75,7,"immature",104.577186038143,0.857142857142857,1
"He","adult female","se",0.985406484250166,3,1000,394200,0,4,"adult female",9.1324200913242,0.75,1
"Up","adult female","se",1,3,953,394200,0,4,"adult female",8.70319634703196,0.75,1
"Or","adult female","se",0.7305488581468,3,617,394200,0,4,"adult female",5.63470319634703,0.75,1
"Gu","adult male","se",0.60985050156343,3,539,394200,0,4,"adult male",4.92237442922375,0.75,1
"At","adult female","sn",0.100333599231696,5,1403,1000440,0.5,7,"adult female",5.04857862540482,0.714285714285714,2
"Mi","adult female","sn",0.0575277889938589,6,974,1000440,0.5,7,"adult female",3.50485786254048,0.857142857142857,1
"Vn","subadult female","sn",0.509034919292043,6,4302,1000440,0.5,7,"adult female",15.4803886290032,0.857142857142857,1
"Vs","adult male","sn",0.936341823553428,6,10303,1000440,0.5,7,"adult male",37.0744872256207,0.857142857142857,1
"Ze","adult male","sn",0.139945215229135,4,648,1000440,0.5,7,"adult male",2.33177401943145,0.571428571428571,3
"Ar","infant","sn",0.303636242324192,5,2828,1000440,0.5,7,"immature",10.176322418136,0.714285714285714,2
"Vv","juvenile","sn",1,6,13649,1000440,0.5,7,"immature",49.1147894926232,0.857142857142857,1
